,Goodreads_ID,ISBN,Title,Author,Imprint,Publisher_Group,Volume,Value,RRP,ASP,Binding,Publ_Date,Product_Class,book_series,num_pages,num_goodreads_ratings,average_goodreads_ratings,num_goodreads_reviews
39,363752.Bridget_Jones,9.78033E+12,Bridget Jones: The Edge of Reason,"Fielding, Helen",Picador,Pan Macmillan Grp,"923,429","$7,364,419.33 ",$10.71 ,$7.97 ,Paperback,6/15/00,F1.1  General & Literary Fiction,Bridget Jones,352,106647,3.6,2701
24,60748.A_Child_Called_It_,9.78075E+12,"Child Called It,A","Pelzer, Dave",Orion (an Imprint of The Orion,Orion Grp,"1,116,042","$7,459,308.59 ",$9.37 ,$6.69 ,Paperback,1/4/01,T4.0A  Autobiography: General,Dave Pelzer,184,402665,4.11,16703
60,3711.White_Teeth,9.78014E+12,White Teeth,"Smith, Zadie",Penguin Books,Penguin Grp,"731,416","$6,165,382.91 ",$12.05 ,$8.43 ,Paperback,1/25/01,F1.1  General & Literary Fiction,nan,448,139687,3.79,8491
8,6.Harry_Potter_and_the_Goblet_of_Fire,9.78075E+12,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,057,397","$14,399,253.77 ",$12.05 ,$6.99 ,Paperback,7/6/01,Y2.1  Children's Fiction,Harry Potter,734,3007115,4.57,55150
84,32349.Mutant_Message_Down_Under,9.78055E+12,Down Under,"Bryson, Bill",Black Swan,Transworld Grp,"646,515","$6,201,538.34 ",$12.05 ,$9.59 ,Paperback,8/6/01,T8.5  Travel Writing,nan,187,18999,3.76,1828
75,531445.Happy_Days_With_The_Naked_Chef,9.78072E+12,Happy Days with the Naked Chef,"Oliver, Jamie",Michael Joseph,Penguin Grp,"659,722","$12,019,295.10 ",$26.80 ,$18.22 ,Hardback,9/3/01,T16.0  Food & Drink: General,nan,320,6663,4.07,56
82,18122.The_Amber_Spyglass,9.78044E+12,"Amber Spyglass,The:His Dark Materials S.","Pullman, Philip",Point,Scholastic Ltd. Grp,"653,615","$5,088,596.05 ",$9.37 ,$7.79 ,Paperback,9/14/01,Y2.2  Young Adult Fiction,His Dark Materials,465,330635,4.09,11851
19,6867.Atonement,9.7801E+12,Atonement,"McEwan, Ian",Vintage,Random House Grp,"1,396,366","$11,619,739.45 ",$10.71 ,$9.03 ,Paperback,5/2/02,F1.1  General & Literary Fiction,nan,351,474972,3.92,18948
53,49628528-tall-tales-and-wee-stories,9.78001E+12,Billy Connolly,"Stephenson, Pamela",HarperCollins Publishers,HarperCollins Grp,"801,133","$5,829,765.46 ",$12.05 ,$7.28 ,Paperback,7/8/02,T4.1  Biography: The Arts,nan,336,3921,4.12,417
72,5352.The_Summons,9.7801E+12,"Summons,The","Grisham, John",Arrow Books,Random House Grp,"677,378","$4,966,086.93 ",$10.71 ,$7.33 ,Paperback,9/28/02,"F2.1  Crime, Thriller & Adventure",nan,384,71874,3.71,2289
44,765755.Stupid_White_Men_and_other_Sorry_Excuses_for_the_State_of_the_Nation,9.78014E+12,Stupid White Men:...and Other Sorry Excuses for the State of the Natio,"Moore, Michael",Penguin Books,Penguin Grp,"877,777","$8,258,415.48 ",$10.71 ,$9.41 ,Paperback,10/3/02,T7.5  Current Affairs & Issues,nan,282,15874,3.32,678
67,40700.Schott_s_Original_Miscellany,9.78075E+12,Schott's Original Miscellany,"Schott, Ben",Bloomsbury Publishing PLC,Bloomsbury Grp,"694,063","$8,687,479.38 ",$17.41 ,$12.52 ,Hardback,11/4/02,T13.3  Trivia & Quiz Books,nan,160,1947,4.1,144
83,33724.Can_You_Keep_a_Secret_,9.78055E+12,Can You Keep a Secret?,"Kinsella, Sophie",Black Swan,Transworld Grp,"652,788","$4,987,898.33 ",$10.71 ,$7.64 ,Paperback,3/17/03,F1.1  General & Literary Fiction,nan,374,408848,3.84,13233
31,4214.Life_of_Pi,9.78184E+12,Life of Pi,"Martel, Yann",Canongate Books,Canongate Grp,"1,050,090","$9,336,276.78 ",$10.71 ,$8.90 ,Paperback,5/17/03,F1.1  General & Literary Fiction,nan,460,1464439,3.92,49308
25,35846108-no-1-ladies-detective-agency-omnibus-edition,9.78035E+12,"No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander",Abacus,"Little, Brown Book Grp","1,106,219","$8,472,144.61 ",$10.71 ,$7.66 ,Paperback,6/5/03,"F2.1  Crime, Thriller & Adventure",nan,226,15,4.47,1
4,2.Harry_Potter_and_the_Order_of_the_Phoenix,9.78075E+12,Harry Potter and the Order of the Phoenix,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,043,226","$45,460,077.79 ",$22.77 ,$14.94 ,Hardback,6/21/03,Y2.1  Children's Fiction,Harry Potter,870,2882627,4.5,50446
3,960.Angels_Demons,9.78055E+12,Angels and Demons,"Brown, Dan",Corgi Books,Transworld Grp,"3,096,850","$20,820,015.29 ",$10.71 ,$6.77 ,Paperback,7/1/03,"F2.1  Crime, Thriller & Adventure",Robert Langdon,736,2921948,3.92,31070
61,5139.The_Devil_Wears_Prada,9.78001E+12,"Devil Wears Prada,The","Weisberger, Lauren",HarperCollins Publishers,HarperCollins Grp,"725,210","$5,463,617.87 ",$10.71 ,$7.53 ,Paperback,10/6/03,F1.1  General & Literary Fiction,The Devil Wears Prada,432,829302,3.77,9811
35,8600.Eats_Shoots_Leaves,9.78186E+12,"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne",Profile Books,Profile Books Group,"995,455","$11,869,949.73 ",$13.39 ,$11.93 ,Hardback,11/6/03,T2.1  Usage & Writing Guides,nan,209,104228,3.86,5032
0,968.The_Da_Vinci_Code,9.78055E+12,"Da Vinci Code,The","Brown, Dan",Corgi Books,Transworld Grp,"4,522,025","$30,629,502.29 ",$10.71 ,$6.77 ,Paperback,3/1/04,"F2.1  Crime, Thriller & Adventure",Robert Langdon,489,2121534,3.88,50199
12,11125.Digital_Fortress,9.78055E+12,Digital Fortress,"Brown, Dan",Corgi Books,Transworld Grp,"1,911,943","$12,920,446.17 ",$10.71 ,$6.73 ,Paperback,3/5/04,"F2.1  Crime, Thriller & Adventure",nan,510,597413,3.68,10067
